hours_studied,attendance,sleep_hours,exam_score,motivation,tutoring_sessions,family_income
14,81,5,66,3,3,1
18,95,8,70,2,2,3
31,96,8,75,1,3,1
24,71,6,67,2,3,3
17,78,9,66,1,4,2
23,82,6,71,2,2,2
28,98,7,75,2,2,2
26,100,7,72,1,1,2
20,69,7,64,1,2,1
16,89,9,65,2,1,1
24,75,5,67,3,1,1
22,60,6,63,1,2,1
25,60,5,62,1,1,2
24,78,10,69,3,2,2
26,80,7,70,2,1,1
17,61,6,63,3,0,2
28,87,7,71,2,2,1
21,72,8,63,2,0,1
32,82,8,71,1,0,3
16,72,6,63,1,0,1
30,67,6,68,3,0,1
21,76,5,65,3,0,1
16,69,7,66,2,0,3
17,81,9,66,2,3,1
18,68,6,66,1,0,2
23,80,8,65,2,0,2
23,66,6,66,2,0,3
17,87,5,67,2,4,2
20,90,8,68,2,0,2
33,64,10,68,1,2,3
30,79,8,69,2,3,1
23,63,6,64,1,1,2
20,84,6,67,2,0,2
21,71,10,63,1,1,2
24,81,7,67,2,3,1
14,81,6,64,1,2,3
18,97,7,66,1,0,3
10,82,7,65,1,2,1
22,83,8,68,1,4,2
24,76,9,66,1,0,1
17,98,9,71,1,0,3
29,91,7,74,2,2,2
13,71,7,65,1,2,1
11,94,8,68,3,0,2
21,77,6,68,1,2,3
26,93,8,72,2,1,2
30,93,7,74,2,3,1
17,68,8,61,2,0,1
26,88,10,65,1,0,1
20,72,8,63,1,0,1
19,72,7,66,2,1,2
25,72,6,66,2,2,1
24,89,7,73,2,2,1
11,69,5,63,2,0,2
29,60,8,68,2,0,2
28,89,4,73,3,3,1
16,67,8,63,2,0,3
22,64,8,65,2,2,2
23,70,7,66,3,0,1
22,75,6,65,2,0,3
17,79,7,66,2,0,2
16,62,4,65,3,3,1
20,99,8,70,2,2,1
27,89,7,70,2,1,2
23,73,9,68,2,0,3
18,73,8,64,2,1,1
25,78,7,68,2,1,2
3,85,8,62,1,2,1
27,66,6,68,2,1,2
10,68,6,61,1,1,3
18,94,7,69,1,1,1
13,70,7,65,2,3,1
12,75,6,65,2,2,1
27,95,7,72,1,3,1
17,87,7,70,3,3,1
22,74,10,65,2,1,2
20,87,7,69,2,3,1
23,61,6,65,2,1,2
20,89,7,69,1,3,1
12,79,9,65,2,2,1
26,93,9,72,2,0,1
17,98,10,70,2,0,1
11,97,7,64,1,0,1
17,96,8,67,1,0,2
29,80,5,69,3,0,3
25,74,6,70,1,4,2
18,79,5,65,1,1,1
18,88,8,69,1,1,1
18,95,7,74,3,5,2
32,68,7,66,2,1,1
22,97,6,72,3,1,1
23,93,8,67,3,0,1
26,99,4,75,3,2,3
21,95,7,70,2,3,2
18,71,7,63,2,1,2
19,64,4,65,3,2,2
20,64,8,64,2,3,2
20,72,7,65,1,2,2
24,85,8,70,2,2,2
20,92,10,67,2,0,1
24,96,7,67,1,0,1
20,85,8,68,2,1,2
20,60,9,65,3,4,2
8,67,8,61,1,2,2
25,64,6,63,1,2,1
22,75,5,80,1,2,1
26,80,8,69,2,2,1
3,62,6,55,2,1,1
33,74,9,70,2,2,2
19,67,6,65,3,1,1
27,86,7,68,1,1,2
14,79,5,64,2,3,1
24,80,6,69,2,1,1
14,77,6,89,2,1,2
16,98,6,67,2,1,2
31,69,7,92,2,2,3
19,81,6,67,1,1,1
21,89,10,70,1,3,2
25,82,8,68,2,1,1
23,97,9,70,2,0,1
21,75,7,67,1,3,2
22,79,7,69,3,0,3
34,64,6,67,3,0,1
20,84,10,69,2,0,1
21,72,7,63,1,0,3
26,66,6,69,2,3,2
27,82,6,66,1,1,1
27,81,8,68,2,0,2
24,63,9,69,2,4,2
13,88,9,66,1,4,2
30,85,6,72,1,1,2
13,68,6,62,2,1,3
22,79,9,67,2,1,1
15,89,10,67,1,0,1
20,81,7,67,1,1,2
22,76,9,65,1,2,1
22,73,5,67,2,1,2
23,84,6,66,2,3,1
30,98,5,70,3,0,1
23,87,8,71,2,2,3
19,63,7,64,2,2,1
26,78,7,69,1,4,2
27,96,9,72,1,0,2
13,64,6,60,2,0,1
24,100,7,71,1,1,2
24,98,5,71,3,0,2
18,63,9,66,2,2,3
28,97,9,74,1,3,2
19,75,8,64,3,0,1
21,94,7,68,1,2,2
19,77,6,66,1,4,1
20,78,5,65,1,1,1
13,85,7,64,2,0,1
11,91,8,65,2,1,3
30,61,10,69,1,4,2
15,84,6,68,2,2,2
14,67,7,62,1,1,2
7,74,9,63,3,3,3
16,74,9,65,3,0,3
12,79,6,62,2,1,1
30,73,7,67,2,0,1
26,64,6,64,1,1,1
16,66,6,61,1,2,2
34,61,9,65,2,1,1
26,79,7,67,2,1,3
18,98,7,70,2,0,2
5,65,7,59,1,1,1
34,98,7,75,2,1,1
12,89,7,67,2,4,1
10,85,6,64,1,1,2
26,86,9,72,2,3,3
35,93,6,76,2,5,2
28,64,6,69,1,2,2
23,80,7,65,1,0,1
24,88,10,72,1,2,3
25,83,6,69,1,0,1
25,93,8,71,2,0,3
22,63,7,64,3,0,2
21,88,7,74,3,2,2
20,81,8,68,2,0,2
15,75,4,66,3,1,1
18,74,6,65,3,0,3
10,85,8,67,1,2,3
19,96,7,69,3,0,1
14,80,7,66,3,2,1
13,93,8,69,2,1,2
21,76,6,67,2,2,2
28,64,9,64,2,1,1
26,62,8,67,2,2,2
11,62,7,61,3,3,1
14,75,8,61,1,0,3
26,73,9,68,3,4,2
14,89,6,66,1,2,1
19,90,8,66,1,0,3
23,62,10,68,3,2,1
14,69,8,63,3,1,2
21,71,7,66,2,3,2
12,82,10,66,3,0,2
16,66,7,66,3,0,3
22,65,9,65,3,2,2
10,98,6,69,2,2,3
23,92,9,71,3,1,3
20,67,6,66,3,1,2
23,76,7,66,3,1,2
21,74,6,65,1,0,1
28,92,10,71,2,4,1
21,80,7,69,3,3,2
17,65,5,61,2,2,1
21,90,7,70,3,1,1
23,76,8,70,3,2,3
20,71,7,65,3,0,3
20,75,6,64,2,2,2
16,80,9,68,1,0,3
16,74,9,63,1,1,1
12,70,5,63,2,2,1
30,76,6,71,1,3,3
13,61,7,58,1,1,2
16,91,6,68,2,1,2
16,67,8,65,3,1,3
25,62,10,65,1,2,1
18,86,6,68,1,2,2
27,91,9,69,2,0,1
16,93,5,71,1,5,3
22,80,8,65,1,2,1
15,68,6,64,1,0,2
33,89,8,75,2,2,3
13,88,4,67,1,1,1
22,70,5,68,3,1,2
24,96,8,72,1,1,2
22,64,6,67,3,3,2
19,99,7,72,2,1,3
19,94,10,69,3,1,1
20,88,7,68,1,0,3
19,98,8,70,2,0,2
26,89,6,69,3,1,1
33,68,5,67,2,2,1
17,78,7,63,2,0,1
12,63,5,61,1,4,1
19,76,6,66,2,1,2
35,90,7,73,1,0,1
15,75,7,67,3,0,2
30,73,8,72,2,2,3
30,84,8,69,1,1,1
17,95,5,69,2,2,2
23,62,6,63,2,1,1
30,75,4,67,1,0,2
18,66,6,63,2,0,3
19,88,8,66,1,1,2
17,64,9,62,2,2,1
14,87,7,68,2,2,1
16,71,9,65,2,1,1
13,68,8,59,2,0,2
20,97,7,72,3,1,2
15,61,6,63,2,0,3
21,78,4,68,2,1,2
11,61,9,61,3,0,2
22,79,7,65,1,1,1
25,80,9,68,1,2,1
8,73,6,61,3,1,1
22,65,10,63,2,1,1
27,75,7,67,3,1,2
13,87,6,66,1,0,3
30,91,7,75,3,3,2
23,81,7,68,1,0,2
16,84,7,65,3,2,2
20,68,6,64,3,0,1
23,71,4,67,2,2,1
20,66,6,64,2,2,1
23,70,9,67,2,0,1
14,69,6,63,1,2,1
21,81,4,67,2,0,2
12,83,5,65,2,1,3
19,98,7,70,3,1,1
15,68,6,62,3,2,3
16,86,7,69,2,2,1
27,93,6,70,2,2,2
27,82,9,68,1,1,1
24,70,8,68,2,4,1
13,71,10,64,2,0,1
18,62,6,63,3,4,1
27,72,7,68,2,2,3
21,90,9,67,1,1,1
34,62,8,68,1,3,1
22,69,6,66,2,1,1
21,88,8,67,1,2,2
18,91,8,69,3,1,2
21,78,4,68,2,2,3
19,88,6,70,2,4,2
24,76,7,68,2,3,2
26,66,9,66,2,2,1
15,76,8,67,2,2,1
12,83,6,65,2,1,3
9,98,6,67,2,0,2
23,63,8,63,3,2,2
13,80,4,64,3,2,1
7,73,6,64,2,3,1
22,80,9,66,3,0,2
35,61,7,68,1,2,2
20,73,6,67,3,0,2
25,93,5,72,1,1,2
20,82,8,67,1,1,1
19,78,7,66,3,2,2
26,71,7,66,2,1,1
18,72,8,67,2,1,2
22,75,7,65,1,0,1
22,93,7,70,1,2,2
16,99,5,69,1,0,1
26,78,5,69,1,1,3
19,76,8,66,2,1,2
15,94,8,66,2,2,2
23,77,8,67,2,1,1
15,82,6,67,2,1,2
20,69,8,67,3,2,2
20,90,6,72,2,2,3
27,81,9,68,1,1,2
23,92,6,70,3,3,2
20,91,6,69,2,1,1
25,69,7,65,3,1,1
28,89,8,72,2,0,2
23,92,7,69,2,0,1
20,74,7,68,1,5,3
12,67,6,62,3,1,1
14,60,7,60,1,2,2
18,78,7,67,1,3,2
16,74,6,67,1,2,2
19,82,7,67,2,1,2
20,68,7,63,1,0,1
23,94,10,71,3,1,2
20,70,6,66,3,0,2
23,69,6,65,3,0,2
20,79,7,69,3,2,2
8,80,6,63,3,2,2
14,69,5,64,3,3,1
19,71,5,67,3,2,1
13,67,6,62,3,1,1
24,89,6,68,1,2,2
29,91,5,71,1,2,1
27,78,7,66,2,1,1
19,89,4,69,1,1,1
29,89,8,71,1,1,2
21,66,6,66,2,2,2
18,99,6,72,2,5,1
16,93,8,70,2,1,3
18,68,8,65,3,1,1
18,67,6,64,2,0,2
21,65,8,63,2,1,1
21,66,9,63,1,3,2
20,90,5,66,2,3,2
23,79,8,68,1,1,1
27,91,5,74,1,1,3
26,90,9,71,1,0,3
11,84,6,67,3,3,1
5,87,6,66,2,2,2
26,61,9,67,2,0,2
12,72,8,62,3,3,1
19,86,6,68,1,1,3
13,60,7,62,2,2,1
9,61,6,82,1,1,3
23,94,5,70,3,2,2
25,87,7,72,2,4,2
17,71,6,64,1,0,2
4,88,6,66,1,1,2
17,92,9,68,3,0,2
22,72,6,64,1,1,3
11,61,7,61,3,0,2
21,97,9,69,2,0,2
20,74,7,68,1,2,3
23,64,6,64,2,1,2
21,80,7,67,2,1,1
14,91,8,67,2,0,2
27,69,8,65,2,1,3
19,71,10,68,2,2,2
20,70,6,67,2,2,2
14,100,7,67,1,1,1
17,68,5,64,2,1,3
15,83,8,70,2,0,2
19,97,7,69,2,2,1
30,66,7,66,1,0,3
12,99,6,69,2,2,2
10,98,6,66,2,1,1
29,95,7,73,1,1,1
19,69,6,66,2,4,3
16,85,7,69,3,0,2
26,90,7,70,1,1,2
16,99,5,71,3,1,2
31,67,5,70,2,2,2
24,91,6,69,2,0,1
17,74,9,63,2,1,2
33,67,6,71,2,4,2
16,77,7,67,1,2,2
24,92,5,73,3,3,2
22,79,6,68,2,1,3
28,82,5,69,2,0,3
29,100,8,76,2,2,2
20,76,5,68,2,4,1
15,85,8,65,3,1,1
23,75,8,66,1,0,3
16,76,7,65,3,0,1
32,88,8,69,1,3,1
21,98,10,71,2,0,2
18,82,8,66,2,1,3
21,91,5,69,2,3,1
12,64,9,59,1,2,1
14,68,7,65,2,2,3
27,80,10,72,3,4,1
16,61,6,60,2,0,2
14,70,9,64,1,0,3
23,81,7,69,1,1,1
27,61,10,70,2,3,2
24,71,7,67,1,2,3
26,81,10,67,1,0,2
15,83,8,64,2,0,1
11,97,8,68,1,4,2
29,86,10,72,1,1,1
18,77,6,65,2,1,1
18,97,8,70,1,2,2
28,91,7,75,1,2,1
23,68,7,65,2,3,1
23,65,7,63,1,1,1
33,87,8,71,1,0,1
16,82,8,66,2,2,2
26,92,6,69,2,1,1
20,90,7,68,1,0,3
22,85,4,71,2,1,2
29,99,8,77,3,5,1
23,81,10,70,3,1,2
23,65,7,66,2,1,3
26,93,5,73,1,1,3
18,70,8,62,2,1,1
15,91,6,65,1,0,2
14,98,7,71,2,0,1
8,88,8,66,3,1,1
32,84,8,72,2,1,1
13,78,9,64,2,0,2
19,75,7,63,1,0,1
18,74,7,63,1,0,1
22,85,8,72,3,5,2
25,90,7,71,2,2,2
25,87,6,72,1,3,2
17,68,8,65,2,1,2
19,80,5,67,2,0,2
22,92,7,68,1,1,1
19,79,5,66,2,2,1
30,81,6,72,2,0,3
23,91,6,71,2,3,1
24,86,6,70,1,3,1
24,76,9,68,2,1,2
27,96,9,72,1,0,1
21,67,9,66,3,1,1
12,100,7,69,2,1,2
22,65,6,65,3,2,2
16,61,8,62,2,1,1
17,96,7,69,1,1,1
24,70,7,65,2,1,2
27,89,4,69,2,2,1
20,92,8,69,2,1,1
22,94,8,73,2,2,1
30,100,7,75,1,2,2
21,72,8,70,2,3,1
36,88,8,74,3,0,1
23,65,6,65,2,0,1
9,76,7,63,2,1,2
25,94,5,74,1,4,2
22,75,9,67,1,0,1
28,84,8,71,2,3,2
24,80,6,68,2,1,1
19,86,8,69,2,2,2
13,99,7,71,2,0,2
19,62,6,66,1,7,2
15,83,7,65,1,0,2
17,95,8,66,1,1,1
24,79,8,65,3,2,1
30,63,10,67,2,1,2
22,82,7,70,3,2,1
13,73,7,63,2,1,1
23,66,8,64,1,1,2
27,94,7,71,2,1,2
16,81,6,68,2,2,1
19,97,6,72,2,2,3
20,92,4,71,2,2,3
15,88,8,64,2,1,1
24,60,5,64,2,1,2
19,77,6,66,1,3,3
23,68,7,68,3,3,2
15,96,7,68,2,2,1
17,67,10,65,2,3,1
24,71,5,67,2,1,2
18,81,10,64,1,3,1
30,71,9,70,3,1,2
18,68,8,65,1,1,1
21,84,9,65,1,2,2
26,64,8,68,3,1,2
11,62,4,61,2,2,3
9,75,8,63,3,3,2
11,89,5,65,2,0,2
28,82,6,69,2,1,1
17,77,7,64,1,1,1
35,83,6,69,2,1,1
17,75,8,67,1,3,3
21,97,7,74,3,1,2
29,62,8,66,2,1,1
32,87,7,72,2,0,3
32,96,7,73,1,1,1
27,92,6,73,3,0,2
26,67,5,63,3,0,2
24,72,7,69,2,3,1
25,89,6,71,3,2,1
17,63,9,63,3,1,1
15,92,5,69,2,0,3
20,89,10,72,1,3,2
19,89,7,68,2,2,1
17,64,7,62,2,1,2
24,89,6,68,2,1,1
26,87,8,71,3,1,1
21,93,7,67,1,1,3
29,62,7,65,3,0,1
13,61,8,60,3,1,2
19,75,8,68,3,2,3
16,66,9,59,2,1,2
9,82,8,64,2,0,3
20,97,6,71,3,2,1
19,76,4,68,1,2,3
29,94,7,70,2,2,1
24,60,7,62,2,1,2
14,67,10,62,2,2,3
31,61,7,68,2,2,2
27,73,8,68,1,3,2
23,96,8,74,3,3,1
19,64,8,61,2,0,3
14,84,8,67,2,1,1
18,78,6,65,2,1,3
27,98,6,101,1,5,3
31,65,7,65,2,1,1
29,68,4,67,2,0,2
17,61,7,61,1,2,1
13,77,6,64,2,3,2
21,71,7,64,3,1,2
9,95,7,67,2,1,1
22,84,5,69,2,0,3
19,85,9,69,1,1,2
17,81,7,67,2,4,1
10,64,8,62,2,1,2
23,78,7,66,2,0,1
17,100,8,72,1,0,2
13,93,5,67,1,2,2
3,96,9,66,2,2,1
20,93,8,67,2,2,1
31,64,7,67,1,1,2
30,69,7,68,2,0,2
17,60,9,63,2,0,1
16,72,6,62,1,1,2
23,64,5,65,1,3,2
14,79,6,65,2,1,1
22,87,7,70,2,0,2
25,95,7,73,2,7,1
27,90,9,73,2,1,2
19,98,6,68,2,2,1
19,62,6,63,3,3,2
15,60,5,62,3,2,3
15,86,8,69,2,0,2
19,72,5,66,2,2,2
22,70,8,68,3,0,2
25,73,6,67,1,0,1
15,71,6,65,1,2,1
29,80,10,70,3,1,3
18,78,9,64,3,0,3
20,80,7,65,3,2,2
16,87,5,67,3,1,1
5,75,10,62,2,0,3
25,70,7,66,3,3,1
24,67,7,68,1,0,3
18,74,8,64,3,0,2
20,90,4,69,2,3,1
23,90,6,69,1,1,3
11,87,7,67,2,1,2
17,69,7,61,1,0,1
25,84,5,70,1,1,2
12,83,7,65,1,1,3
22,79,7,66,1,0,1
12,82,10,66,2,3,1
23,80,9,69,2,4,2
20,83,7,67,3,1,2
10,89,7,71,2,2,3
27,64,9,68,3,1,1
16,90,7,67,3,2,2
15,65,5,63,1,2,1
21,63,10,64,1,1,3
27,99,6,73,2,3,1
14,98,10,69,3,1,1
20,62,8,65,3,1,2
23,78,6,70,2,0,2
24,67,4,67,1,1,1
21,79,8,67,3,3,1
18,93,5,70,2,0,1
15,98,8,69,1,2,3
21,85,10,68,3,2,2
14,74,5,66,3,1,1
2,84,8,62,1,3,1
23,72,6,67,1,2,3
25,96,9,71,3,2,2
6,95,7,68,2,4,1
14,82,7,66,3,3,1
24,73,9,64,3,0,1
32,72,8,71,1,1,1
20,61,6,61,2,1,2
16,93,10,67,2,2,1
19,78,5,65,1,3,3
28,73,7,66,1,0,1
16,79,6,68,2,2,1
15,93,5,66,2,0,1
17,65,5,63,2,2,2
14,94,7,66,1,1,3
21,96,8,73,2,1,3
30,98,9,88,2,1,1
22,76,9,67,3,0,2
18,69,7,69,2,2,2
18,75,6,67,3,2,1
11,73,9,64,2,1,1
25,67,6,64,2,0,1
20,84,5,65,1,1,1
19,79,8,68,3,1,2
39,95,9,77,3,2,2
22,61,6,63,3,0,1
15,86,10,69,2,0,3
17,91,8,69,2,3,2
27,90,8,70,2,2,2
21,95,6,73,3,1,2
11,89,9,66,2,1,2
26,97,5,71,3,2,1
16,73,6,66,2,2,3
31,80,6,71,3,2,1
26,61,5,66,2,3,3
17,60,8,63,3,0,1
28,70,8,70,2,5,1
20,64,8,66,2,1,2
25,70,7,66,2,1,2
23,67,8,66,3,2,2
15,61,7,62,2,1,2
16,96,6,69,3,1,2
26,60,6,63,1,1,1
18,89,4,68,1,1,3
18,66,9,64,2,1,2
14,96,9,69,3,2,1
23,96,10,71,1,3,1
32,86,6,71,2,2,2
14,87,6,66,2,1,1
20,60,4,63,1,2,3
28,99,8,72,1,0,2
20,95,8,70,1,1,1
23,96,9,71,2,0,3
14,86,6,65,2,3,3
23,74,8,65,1,0,3
19,96,6,67,3,1,1
26,72,9,68,3,0,2
27,83,8,70,2,3,2
36,64,5,70,2,2,2
23,97,7,72,1,2,2
22,66,4,65,2,1,1
21,69,5,65,3,2,1
18,82,5,71,3,3,2
22,91,6,74,1,3,3
18,85,7,64,1,0,1
21,69,7,64,3,1,2
28,60,7,65,1,3,1
14,90,7,67,2,1,2
27,99,7,73,1,2,1
28,92,5,72,3,1,2
19,78,7,65,1,0,2
7,96,9,67,2,0,1
16,76,7,66,1,2,2
28,81,8,70,1,0,2
20,79,8,66,2,2,2
14,78,8,66,1,1,2
17,91,7,68,1,3,3
25,81,8,68,1,3,1
23,73,8,67,1,0,3
19,70,8,65,3,1,1
18,62,8,64,2,4,1
18,83,5,70,3,1,3
14,69,5,63,2,0,3
30,66,6,65,1,2,1
18,86,9,67,2,4,2
27,87,7,71,1,3,1
29,90,7,73,2,1,1
26,80,4,67,1,1,1
17,96,7,72,2,2,1
22,97,7,71,3,2,2
20,92,4,72,3,0,2
15,85,7,68,2,1,2
22,72,5,65,2,2,1
13,99,6,68,1,1,2
27,71,8,67,2,1,3
17,68,7,66,3,1,3
21,78,6,64,2,0,2
22,62,6,65,2,3,1
18,99,6,69,2,0,1
24,84,7,68,2,2,2
17,82,5,69,2,3,2
25,86,9,70,1,1,3
12,80,5,65,2,1,3
21,61,4,63,1,2,2
32,84,8,71,2,1,1
14,89,6,68,1,0,1
16,77,7,70,3,5,1
23,90,8,72,3,2,2
21,69,6,64,2,3,1
22,69,7,64,1,0,1
23,66,8,66,3,2,3
24,75,9,69,3,0,2
27,94,6,71,2,2,2
22,93,6,69,3,0,3
19,75,8,67,1,1,1
24,84,7,66,2,0,1
31,89,7,71,2,2,1
19,70,9,63,1,2,3
14,67,4,62,2,0,3
27,99,5,73,2,0,2
19,85,4,66,1,1,2
7,99,9,72,2,3,3
25,74,8,67,1,1,1
17,88,5,65,2,0,2
19,69,7,66,2,2,2
22,70,7,68,1,3,2
21,80,4,69,2,1,2
24,73,7,68,2,0,3
17,67,5,61,2,0,1
23,71,8,68,2,3,2
18,61,5,64,1,3,3
24,88,7,67,1,1,1
24,80,9,68,3,3,3
14,64,8,61,1,1,2
27,67,8,66,1,1,1
17,64,7,64,1,2,2
25,85,5,67,1,3,3
22,64,6,64,1,2,3
31,90,7,72,1,0,1
19,61,7,62,1,2,3
18,70,5,63,1,2,1
20,96,8,70,1,1,1
18,89,5,69,1,3,2
25,63,9,64,2,3,2
10,93,7,66,2,2,2
14,80,8,67,2,3,1
14,94,8,71,2,4,2
26,84,10,70,2,0,1
30,87,7,69,2,2,2
19,100,6,68,3,0,1
19,69,6,64,2,1,1
20,85,9,70,1,3,2
27,78,5,69,2,0,2
14,62,6,63,2,0,3
21,61,7,60,2,1,2
26,65,7,65,2,2,1
23,86,8,67,2,0,1
21,83,5,66,1,1,2
26,82,7,68,2,3,1
4,61,7,58,3,0,1
24,79,5,67,2,0,2
16,97,8,68,1,0,2
9,76,7,62,2,1,1
23,85,7,69,3,2,1
28,91,6,73,3,1,2
19,91,6,66,2,2,1
26,81,5,67,2,0,2
30,94,8,71,2,1,2
28,76,9,66,2,1,1
30,96,10,74,2,0,3
24,70,8,67,1,2,1
20,71,6,68,3,2,2
10,62,6,61,3,2,1
19,92,8,69,2,2,2
15,77,7,65,1,4,1
33,69,7,71,2,2,2
19,69,7,61,2,1,1
21,96,9,70,2,0,1
23,93,6,70,2,2,2
20,82,9,69,1,1,2
30,85,7,70,3,2,1
16,79,6,67,2,4,1
21,76,6,63,1,2,1
16,97,7,70,2,1,3
12,65,8,61,2,1,3
16,77,6,64,1,1,1
20,74,8,65,3,2,2
17,80,6,65,2,1,2
16,78,7,66,3,3,1
12,81,5,66,1,1,2
20,66,8,63,2,2,2
11,81,7,66,2,3,2
25,70,9,64,3,0,1
20,67,8,65,2,3,1
11,63,7,62,1,3,3
18,91,9,71,3,4,3
15,77,8,63,1,1,1
22,85,9,70,3,0,2
28,89,6,70,1,2,1
9,87,8,65,2,1,2
21,79,8,66,2,1,1
19,76,5,66,2,2,2
24,75,9,68,3,0,2
21,86,5,68,2,1,1
15,80,5,69,2,4,2
18,94,4,71,2,3,3
15,95,8,69,1,2,1
26,67,5,68,2,0,2
20,65,6,67,2,2,1
31,85,8,72,2,2,1
20,72,7,68,3,2,2
16,61,6,60,1,0,3
11,96,5,68,3,2,1
9,69,7,65,3,1,3
10,97,8,67,3,0,1
22,89,8,70,1,4,3
23,91,10,70,3,0,1
11,68,6,61,1,3,1
25,69,5,68,2,2,3
17,81,7,67,3,1,1
21,67,7,62,2,3,1
30,72,7,66,2,0,3
25,73,6,69,2,3,3
18,66,4,66,2,2,2
15,68,5,64,2,0,3
7,92,8,66,3,1,1
16,67,7,63,1,2,2
19,61,8,62,1,1,2
14,85,8,65,1,1,3
19,99,8,68,1,0,3
20,73,8,65,1,1,1
19,65,7,63,1,1,1
16,83,7,68,2,3,2
21,96,4,72,1,2,3
23,91,6,69,2,2,1
13,85,6,66,1,1,1
28,73,7,68,3,2,1
19,82,6,64,2,1,2
20,64,8,61,1,1,1
24,87,6,67,3,0,1
21,89,9,68,2,0,2
26,99,6,74,3,2,2
22,70,6,67,2,3,2
16,61,6,64,2,2,2
22,82,6,69,2,3,2
13,88,9,63,2,0,1
21,92,7,67,2,0,1
20,68,7,65,2,1,2
19,70,6,67,2,5,2
19,81,7,68,2,1,1
9,73,7,62,2,3,1
17,94,7,70,2,1,1
21,79,7,67,2,1,3
21,92,9,89,2,2,3
14,83,7,65,1,1,1
28,91,5,69,2,2,2
15,73,7,64,3,2,1
26,93,6,74,2,6,3
23,71,8,64,2,0,3
16,82,7,64,2,0,1
31,69,9,67,2,2,2
13,79,6,63,3,2,2
26,73,7,68,1,3,2
26,71,5,66,1,0,2
16,99,7,68,3,0,1
28,66,5,68,2,1,3
18,91,7,69,2,3,1
22,99,7,71,2,3,1
22,61,7,65,2,1,3
19,88,8,67,2,2,2
25,70,7,65,2,1,3
25,62,5,65,2,0,1
10,76,6,80,2,1,3
28,97,7,74,3,2,2
10,60,7,59,1,3,2
26,84,7,69,1,2,3
27,80,9,66,2,0,3
13,95,7,66,2,1,1
18,63,8,65,2,2,3
13,87,4,67,1,3,1
19,87,8,69,1,3,1
18,87,10,68,3,2,2
25,98,9,73,2,1,2
28,93,6,71,2,1,1
28,62,10,67,2,0,1
17,79,7,67,1,1,3
19,76,7,66,2,0,3
10,72,7,63,2,3,2
15,78,7,65,2,1,3
26,75,4,67,2,2,3
30,77,8,69,2,1,1
13,99,7,67,2,1,1
16,64,7,66,3,4,3
20,97,7,74,1,2,2
22,79,6,69,2,2,3
15,85,7,66,3,0,2
23,93,9,69,1,0,2
17,74,8,63,1,1,3
20,77,7,65,2,0,2
23,76,7,64,1,1,1
20,75,7,64,3,0,2
17,97,6,69,1,2,2
19,93,7,73,2,5,1
19,64,8,62,3,1,2
18,64,7,62,1,2,2
18,77,6,68,3,0,2
30,64,7,66,1,1,2
23,85,8,68,3,2,2
18,66,5,66,2,4,2
24,81,6,69,1,3,2
18,60,5,62,2,0,2
27,73,7,68,2,2,3
22,87,8,67,1,2,2
19,79,9,65,2,1,1
23,99,9,69,2,0,1
11,95,6,67,3,2,1
13,74,7,64,3,0,2
13,62,6,62,2,3,3
21,94,9,71,1,5,3
30,96,9,72,2,0,2
33,93,7,74,1,0,2
24,65,6,66,1,1,2
23,100,4,72,2,2,2
9,70,5,65,2,1,3
17,89,4,67,3,0,1
15,96,5,70,3,2,2
16,69,10,62,2,0,1
19,96,5,66,3,0,1
17,72,5,65,2,2,3
8,99,6,70,3,2,2
24,71,10,69,1,2,2
14,98,7,70,1,3,3
21,62,8,66,2,2,3
32,88,7,73,1,1,1
14,81,4,69,1,3,2
5,79,9,66,1,3,2
18,69,8,65,2,4,2
27,88,7,70,3,2,1
32,68,10,70,2,0,2
13,82,6,67,3,2,1
23,70,7,68,3,1,1
17,98,6,68,1,1,2
19,61,9,61,2,0,1
36,68,8,70,3,2,2
11,70,7,65,3,0,1
22,77,5,66,2,3,3
23,69,6,67,2,3,3
27,80,5,69,3,3,3
21,95,9,69,2,1,1
22,88,5,67,1,1,1
18,83,9,66,2,0,2
22,64,9,63,2,1,3
18,88,6,67,1,0,2
24,67,6,64,2,0,1
18,91,6,68,2,2,1
22,70,8,65,1,2,1
20,77,9,65,2,2,2
27,74,9,65,3,1,1
20,94,6,70,2,0,2
9,65,9,62,2,1,3
28,83,9,68,2,0,1
15,66,7,62,1,0,3
16,88,7,68,2,0,2
16,96,9,72,2,0,2
28,77,9,70,1,1,3
7,80,9,62,1,3,2
39,97,10,79,2,2,1
26,81,8,73,2,2,3
21,80,7,68,3,1,1
20,83,9,68,1,0,3
22,88,10,69,2,2,1
23,64,6,63,3,1,1
24,93,7,74,2,5,3
23,77,5,69,2,2,3
21,63,8,61,2,0,1
19,91,8,69,1,4,2
19,75,6,64,3,2,1
19,64,9,63,1,2,1
27,85,6,68,1,1,1
24,95,6,72,2,2,1
2,96,9,65,2,3,2
24,98,6,69,1,2,1
21,95,5,70,1,2,2
20,60,8,63,1,1,2
18,75,7,62,1,0,2
27,93,9,72,1,1,1
26,75,8,69,2,1,1
15,84,4,66,1,2,2
22,84,9,71,2,2,1
14,75,10,62,2,2,1
12,96,9,68,2,2,2
16,80,9,63,1,0,2
25,79,7,66,2,0,1
26,100,6,75,3,1,2
23,80,7,69,3,1,3
24,67,8,68,2,2,3
23,81,8,69,2,5,2
16,93,6,67,2,2,1
23,91,6,73,2,3,2
25,92,5,71,1,1,1
